key,place,geonames_url,gnd_url,lat,lon,source
name:Laufen,Laufen,https://www.geonames.org/2880129,,47.93568,12.92856,bestand
name:Leiden,Leiden,,https://d-nb.info/gnd/4074118-7,52.158329,4.493059,bestand
https://d-nb.info/gnd/4074118-7,Leiden,,https://d-nb.info/gnd/4074118-7,52.158329,4.493059,bestand
https://www.geonames.org/2879139,Leipzig,https://www.geonames.org/2879139,,51.33962,12.37129,bestand
name:Leipzig,Leipzig,https://www.geonames.org/2879139,,51.33962,12.37129,bestand
name:Lentzke,Lentzke,https://www.geonames.org/2878747,,52.80136,12.70311,bestand
https://www.geonames.org/2878747,Lentzke,https://www.geonames.org/2878747,,52.80136,12.70311,bestand
name:Les Ormes,Les Ormes,,,47.8494001,3.2667001,bestand
https://www.geonames.org/457850,Livland,https://www.geonames.org/457850,,58.0,26.0,bestand
name:Livland,Livland,https://www.geonames.org/457850,,58.0,26.0,bestand
name:London,London,,https://d-nb.info/gnd/4074335-4,51.50853,-0.12574,bestand
https://d-nb.info/gnd/4074335-4,London,,https://d-nb.info/gnd/4074335-4,51.50853,-0.12574,bestand
https://www.geonames.org/2875512,Lucka,https://www.geonames.org/2875512,,51.09727,12.33336,bestand
name:Lucka,Lucka,https://www.geonames.org/2875512,,51.09727,12.33336,bestand
name:Lübeck,Lübeck,https://www.geonames.org/2875601,,53.86893,10.68729,bestand
https://www.geonames.org/2875601,Lübeck,https://www.geonames.org/2875601,,53.86893,10.68729,bestand
https://d-nb.info/gnd/4211415-9,Madras,,https://d-nb.info/gnd/4211415-9,13.087777,80.278333,bestand
name:Madras,Madras,,https://d-nb.info/gnd/4211415-9,13.087777,80.278333,bestand
https://www.geonames.org/2874225,Mainz,https://www.geonames.org/2874225,,49.98419,8.2791,bestand
name:Mainz,Mainz,https://www.geonames.org/2874225,,49.98419,8.2791,bestand
name:Marburg,Marburg,https://www.geonames.org/2873759,,50.80904,8.77069,bestand
https://www.geonames.org/2873759,Marburg,https://www.geonames.org/2873759,,50.80904,8.77069,bestand
name:Meißen,Meißen,https://www.geonames.org/2872155,,51.16158,13.4737,bestand
https://www.geonames.org/2872155,Meißen,https://www.geonames.org/2872155,,51.16158,13.4737,bestand
