letter_id,place_id,place,gnd,geonames
670,13,Dresden,https://d-nb.info/gnd/37172-5,https://www.geonames.org/2935022
670,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
670,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
671,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
671,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
671,4250,Celle,https://d-nb.info/gnd/4009657-9,
671,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
671,2755,"Harburg, Elbe",https://d-nb.info/gnd/4094727-0,https://www.geonames.org/2910685
671,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
671,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
671,4395,Lissabon,https://d-nb.info/gnd/4035919-0,
671,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
672,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
672,4250,Celle,https://d-nb.info/gnd/4009657-9,
672,98,Hamburg,https://d-nb.info/gnd/4023118-5,https://www.geonames.org/2911298
672,2755,"Harburg, Elbe",https://d-nb.info/gnd/4094727-0,https://www.geonames.org/2910685
672,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
672,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
672,241,Weißenfels,https://d-nb.info/gnd/4065247-6,https://www.geonames.org/2811899
673,1868,Altona,https://d-nb.info/gnd/2048384-3,https://www.geonames.org/2911296
673,98,Hamburg,https://d-nb.info/gnd/4023118-5,https://www.geonames.org/2911298
673,2755,"Harburg, Elbe",https://d-nb.info/gnd/4094727-0,https://www.geonames.org/2910685
673,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
674,1868,Altona,https://d-nb.info/gnd/2048384-3,https://www.geonames.org/2911296
674,4240,Athen,https://d-nb.info/gnd/4003366-1,
674,4250,Celle,https://d-nb.info/gnd/4009657-9,
674,98,Hamburg,https://d-nb.info/gnd/4023118-5,https://www.geonames.org/2911298
674,173,Hannover,https://d-nb.info/gnd/4023349-2,https://www.geonames.org/2910831
674,2755,"Harburg, Elbe",https://d-nb.info/gnd/4094727-0,https://www.geonames.org/2910685
674,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
674,665,Kopenhagen,https://d-nb.info/gnd/4032399-7,
675,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
675,13,Dresden,https://d-nb.info/gnd/37172-5,https://www.geonames.org/2935022
675,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
675,171,Paris,https://d-nb.info/gnd/4044660-8,https://www.geonames.org/2988507
675,1678,Warschau,https://d-nb.info/gnd/4079048-4,https://www.geonames.org/756135
676,1868,Altona,https://d-nb.info/gnd/2048384-3,https://www.geonames.org/2911296
676,236,Bamberg,https://d-nb.info/gnd/2005630-8,https://www.geonames.org/2952984
676,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
676,2420,Bordeaux,https://d-nb.info/gnd/2005784-2,
676,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
676,4250,Celle,https://d-nb.info/gnd/4009657-9,
676,98,Hamburg,https://d-nb.info/gnd/4023118-5,https://www.geonames.org/2911298
676,173,Hannover,https://d-nb.info/gnd/4023349-2,https://www.geonames.org/2910831
676,2755,"Harburg, Elbe",https://d-nb.info/gnd/4094727-0,https://www.geonames.org/2910685
676,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
676,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
677,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
677,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
677,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
677,540,Sankt Petersburg,https://d-nb.info/gnd/4267026-3,
677,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
678,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
678,98,Hamburg,https://d-nb.info/gnd/4023118-5,https://www.geonames.org/2911298
678,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
678,897,Mainz,https://d-nb.info/gnd/2018680-0,https://www.geonames.org/2874225
678,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
679,236,Bamberg,https://d-nb.info/gnd/2005630-8,https://www.geonames.org/2952984
679,60,Braunschweig,https://d-nb.info/gnd/42808-5,https://www.geonames.org/2945024
679,14,Gotha,https://d-nb.info/gnd/4021652-4,https://www.geonames.org/2918752
679,98,Hamburg,https://d-nb.info/gnd/4023118-5,https://www.geonames.org/2911298
679,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
